Filename,Genus,Species,Name of Training Set ,Data Type,Number of Specimens ,Man PC1,Man PC2,Man PC3,Man PC4,Man PC5,AI PC1,AI PC2,AI PC3,AI PC4,AI PC5
st049_bl1_fo2.tif,Menardella,limbata,T0_AI_1_Images,Original,1,0.043289233,0.005486646,-0.016799821,-0.002619178,-0.008017167,0.041102514,0.001174073,-0.028478713,0.005992606,-0.003667582
st049_bl1_fo3.tif,Menardella,limbata,T0_AI_1_Images,Original,1,0.022859018,0.01944302,-0.006812406,-0.000891497,0.008566254,0.017324683,-0.001889499,-0.021893614,0.008715857,0.005266023
st049_bl1_fo4.tif,Menardella,limbata,T0_AI_1_Images,Original,1,-0.015528318,0.018551074,-0.011186008,0.010516438,-0.030435022,-0.025335477,0.012526697,-0.008200795,0.011585464,-0.02658643
st049_bl2_fo1.tif,Menardella,limbata,T0_AI_1_Images,Original,1,-0.027504167,0.03924355,-0.00386617,-0.001357642,-0.002531884,-0.021437749,0.041837639,-0.003985768,-3.64E-05,-0.003453364
st050_bl1_fo1.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.032320828,-0.005309148,0.000534149,-0.013469877,-0.017033178,0.036405724,-0.004852061,-0.004212845,-0.012516642,-0.016839146
st050_bl1_fo2.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.029935603,0.006590821,0.008827805,0.001086929,-0.02837814,0.030344205,0.005299735,0.005871818,0.002700922,-0.027841744
st050_bl1_fo3.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.008683537,-0.016887691,0.035431531,0.017092755,-0.009469478,0.007952913,-0.018767142,0.034757098,0.017158854,-0.008931755
st050_bl1_fo4.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.011040386,-0.003534192,0.008039564,0.032192459,0.007755641,0.007143907,-0.006612917,0.00824881,0.032270687,0.008033548
st050_bl1_fo5.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.004021441,-0.017921174,0.023258098,-0.008868807,-0.010246169,0.000412461,-0.015390557,0.017319252,-0.008948888,-0.01294292
st051_bl1_fo1.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.014418384,0.022453273,0.008670465,-0.019376923,0.017200496,-0.002710873,0.024798806,0.003911667,-0.019017231,0.016954252
st051_bl1_fo2.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.030802578,0.018774223,-0.003497841,0.001135959,-0.014917867,-0.032758996,0.011759584,-0.003390799,0.001582868,-0.014401354
