Filename,Genus,Species,Name of Training Set ,Data Type,Number of Specimens ,Man PC1,Man PC2,Man PC3,Man PC4,Man PC5,AI PC1,AI PC2,AI PC3,AI PC4,AI PC5
st049_bl1_fo2.tif,Menardella,limbata,T0_AI_1_Images,Original,1,-0.028514932,0.021547018,-0.000825525,-0.009497057,-0.002194338,0.000429072,0.018575072,-0.002204783,0.006209988,0.003794287
st049_bl1_fo3.tif,Menardella,limbata,T0_AI_1_Images,Original,1,0.001732528,-0.022613767,0.00341716,-0.034003456,0.016089834,0.022463739,0.003446235,-0.005099624,-0.003944414,0.00350765
st049_bl1_fo4.tif,Menardella,limbata,T0_AI_1_Images,Original,1,0.007446175,0.002209237,0.019605811,-0.016441132,-0.015328903,0.012949429,-0.00061299,-0.005272628,0.004615592,-0.003090261
st049_bl2_fo1.tif,Menardella,limbata,T0_AI_1_Images,Original,1,0.034591464,-0.010427272,0.00343546,-0.022687639,-0.006962261,0.004380913,0.014189147,-0.012771728,0.005981788,-0.002985611
st050_bl1_fo1.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.048565009,-0.015074848,0.003739381,0.00284963,-0.009116703,0.010036597,-0.007384185,-0.015556936,-0.002977635,-0.006633571
st050_bl1_fo2.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.032681283,0.01717859,0.010537113,-0.002825552,-0.030599,0.019243284,0.014456673,-0.002952729,-0.005496715,0.002272085
st050_bl1_fo3.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.026320117,-0.002912189,-0.027709413,0.028351929,0.003374332,-0.009613305,-0.007953317,-0.032477196,0.026088964,0.005275478
st050_bl1_fo4.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.011474843,0.036895087,0.024128699,-0.008777257,0.010697944,-0.001906655,0.029292005,0.001984508,0.008771862,0.007201408
st050_bl1_fo5.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.019733521,0.00461763,-0.022786882,0.000989092,0.010786238,0.005018557,0.001357342,-0.013262452,-0.00296245,0.011905299
st051_bl1_fo1.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.007204467,-0.01779885,0.028967552,0.024664508,0.000798854,0.023858454,-0.015736692,0.022035179,0.016159384,0.001441129
st051_bl1_fo2.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.028051618,0.003542093,-0.005163975,-0.003093874,-0.007280936,0.006866163,0.004686146,-0.005858848,0.008273258,0.008771853
st051_bl1_fo3.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.020694545,-0.029993528,-0.004444421,-0.006191255,0.014947199,0.018778676,-0.005023332,-0.013491903,0.001818631,0.010355068
st051_bl1_fo4.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.028058418,-0.007796862,0.010243324,0.010134433,-0.008781193,0.013997633,0.013302499,-0.00833244,0.00053837,-0.000515774
st051_bl1_fo5.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.015749379,0.014713611,-0.007642846,0.006730264,-0.004067911,0.018377732,0.016369648,-0.013085198,0.002258473,0.000155719
st061_bl1_fo2.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.03256778,-0.007399137,0.016915715,-0.012551398,0.026310515,0.012370351,0.014729086,0.006760269,0.005178729,0.007923477
st061_bl1_fo3.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,-0.036241242,-0.003280086,0.012558869,0.008426663,0.006988947,0.011672336,0.009899351,-0.003531699,-0.00246733,0.001942004
st061_bl1_fo5.tif,Menardella,pertenuis,T0_AI_1_Images,Original,1,0.00828302,0.001398737,0.034293694,0.024964488,-0.004531753,0.018307056,0.014059072,0.008590262,0.012871121,0.005809485
st062_bl1_fo2.tif,Menardella,exilis,T0_AI_1_Images,Original,1,0.002006667,0.017210424,-0.002768128,0.010210712,0.024800899,0.020916515,0.010248619,-0.003185898,0.001508186,0.005983627
st062_bl1_fo3.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.030537619,-0.026125055,-0.000972287,-0.002666616,-0.007629119,0.007937852,0.00627066,-0.010329362,-0.00493608,-5.64E-05
st062_bl1_fo5.tif,Menardella,exilis,T0_AI_1_Images,Original,1,-0.039779112,-0.014134118,-0.005707471,-0.003468543,-0.010648021,-0.001833516,-0.001724719,-0.015282774,-0.00880834,-0.006426198
st049_bl1_fo2.tif,Menardella,limbata,T1_AI_2_Images,Original,2,-0.028514932,0.021547018,-0.000825525,-0.009497057,-0.002194338,0.00311556,0.018289153,-0.002869172,-0.003094127,0.004050821
st049_bl1_fo3.tif,Menardella,limbata,T1_AI_2_Images,Original,2,0.001732528,-0.022613767,0.00341716,-0.034003456,0.016089834,0.014688602,-0.002408668,-0.008211672,-0.007069528,0.007837664
st049_bl1_fo4.tif,Menardella,limbata,T1_AI_2_Images,Original,2,0.007446175,0.002209237,0.019605811,-0.016441132,-0.015328903,0.021519557,0.00622248,-0.00600269,-0.000112223,-0.012880964
st049_bl2_fo1.tif,Menardella,limbata,T1_AI_2_Images,Original,2,0.034591464,-0.010427272,0.00343546,-0.022687639,-0.006962261,0.01073877,0.019798743,-0.008615538,0.00335935,-0.011190798
st050_bl1_fo1.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.048565009,-0.015074848,0.003739381,0.00284963,-0.009116703,-0.007055757,-0.002916954,-0.014475799,-0.003428879,-0.011743491
st050_bl1_fo2.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.032681283,0.01717859,0.010537113,-0.002825552,-0.030599,0.011893158,0.006471641,-0.013176907,0.002884753,-0.008626934
st050_bl1_fo3.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.026320117,-0.002912189,-0.027709413,0.028351929,0.003374332,0.000565277,-0.010713617,-0.033170083,0.023313208,0.006883427
st050_bl1_fo4.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.011474843,0.036895087,0.024128699,-0.008777257,0.010697944,0.00766659,0.022970391,0.014892,-0.004294,0.00732769
st050_bl1_fo5.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.019733521,0.00461763,-0.022786882,0.000989092,0.010786238,0.006348676,0.01222032,-0.012863681,0.001974469,-0.001195589
st051_bl1_fo1.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.007204467,-0.01779885,0.028967552,0.024664508,0.000798854,0.023177462,-0.014168996,0.024854166,0.019183118,-0.005507196
st051_bl1_fo2.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.028051618,0.003542093,-0.005163975,-0.003093874,-0.007280936,0.007033372,0.002299352,-0.007045833,-0.00168148,0.013481776
st051_bl1_fo3.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.020694545,-0.029993528,-0.004444421,-0.006191255,0.014947199,0.015519404,-0.006262833,-0.012993395,0.002419168,0.005066947
st051_bl1_fo4.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.028058418,-0.007796862,0.010243324,0.010134433,-0.008781193,0.015418505,0.019304189,-0.009448649,0.006461735,-0.001154929
st051_bl1_fo5.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.015749379,0.014713611,-0.007642846,0.006730264,-0.004067911,0.019143212,0.013640895,-0.010027396,0.005574763,-0.001950261
